domain_name,tld,auction_price,bulk_score,bulk_reason
agruco.org,org,0.0,10,
aluwood.com,com,0.0,10,
behsan.com,com,0.0,10,
beksar.com,com,0.0,10,
bettingon.com,com,0.0,8,
boomboo.com,com,0.0,10,
fotothing.com,com,0.0,8,
getverb.com,com,0.0,10,
greenevent.com,com,0.0,8,
helema.com,com,0.0,10,
hepjazz.com,com,0.0,10,
insentive.com,com,0.0,8,
luizlopes.com,com,0.0,8,
mabart.com,com,0.0,10,
mediavault.com,com,0.0,9,
mymargin.com,com,0.0,8,
ndental.com,com,0.0,10,
nospoon.org,org,0.0,10,
pokeb.com,com,0.0,10,
servce.com,com,0.0,9,
tecnocars.com,com,0.0,8,
viplav.com,com,0.0,10,
winphil.com,com,0.0,9,
yuzen.com,com,0.0,10,
zenjava.com,com,0.0,10,
canadasuv.com,com,1.0,9,
cuppachai.com,com,1.0,8,
iqtec.com,com,1.0,10,
samalin.com,com,1.0,10,
siamcenter.com,com,1.0,8,
lasvegas.now,now,7.99,9,
plern.com,com,7.99,8,
francamp.com,com,7.99,10,
jobsie.com,com,7.99,10,
pregrade.com,com,7.99,10,
talent.now,now,7.99,9,
allsul.com,com,0.0,9,
consolva.com,com,0.0,10,
hetcom.com,com,0.0,10,
novoucher.com,com,0.0,8,
alteridade.com,com,0.0,8,
ennovelas.com,com,1.0,8,
flexizone.com,com,1.0,9,
garylung.com,com,1.0,8,
ivgtech.com,com,1.0,10,
kiruva.com,com,1.0,10,
studionove.com,com,1.0,8,
chavito.com,com,1.0,10,
livenergy.com,com,1.0,8,
nutrendo.com,com,1.0,10,
tekmad.com,com,1.0,10,
canvasn.com,com,1.0,10,
roommate.me,me,1.0,10,
samobor.com,com,1.0,10,
tevab.com,com,1.0,10,
nordiclore.com,com,1.0,8,
skateology.com,com,1.0,8,
jobyfi.com,com,1.0,9,
allaslive.com,com,7.99,9,
fecop.com,com,7.99,10,
markmo.com,com,7.99,9,
prudence.capital,capital,7.99,9,
diomira.com,com,0.0,10,
veracy.com,com,0.0,10,
lapriye.com,com,1.0,10,
megamarto.com,com,1.0,8,
mivzaklive.com,com,1.0,9,
publisitio.com,com,1.0,8,
revistanos.com,com,1.0,8,
valdiano.com,com,1.0,10,
verthos.com,com,1.0,9,
billion.capital,capital,7.99,9,
blueroots.com,com,33.0,8,
acordis.com,com,1.0,10,
trimad.com,com,1.0,10,
nmportal.com,com,1.0,8,
overleap.com,com,1.0,10,
swosh.com,com,1.0,8,
cotoya.com,com,0.0,10,
consimo.com,com,1.0,10,
artemec.com,com,1.0,10,
covaial.com,com,1.0,9,
leadaccess.com,com,1.0,9,
losttime.com,com,41.0,9,
petvi.com,com,1.0,10,
pilandina.com,com,1.0,8,
tetherx.com,com,11.0,10,
moovtek.com,com,1.0,10,
truepath.org,org,1.0,10,
getuvisa.com,com,7.99,10,
svidomo.com,com,7.99,10,
ateus.com,com,0.0,8,
mevabe.com,com,0.0,10,
sumwhere.com,com,1.0,9,
trupart.com,com,1.0,10,
anasco.com,com,1.0,10,
coderpress.com,com,1.0,8,
sexyzone.com,com,0.0,10,
praguemed.com,com,1.0,8,
ackerman.me,me,1.0,10,
menthory.com,com,1.0,8,
nagraj.com,com,1.0,10,
pilanova.com,com,1.0,10,
sealglobal.com,com,1.0,8,
youcanlead.com,com,1.0,9,
german.tv,tv,7.99,9,
niara.com,com,0.0,8,
hilton.me,me,7.99,10,
terabox.me,me,7.99,10,
aedigest.com,com,1.0,10,
cafeza.com,com,1.0,10,
elegane.com,com,0.0,10,
artheka.com,com,1.0,9,
dulcerama.com,com,1.0,8,
roteirize.com,com,1.0,8,
